Player,Team,RAPM,ORAPM,DRAPM,RAPM_SOURCE,PTS,MIN,GP
OG Anunoby,NYK,2.14,0.08,2.06,EXTERNAL_JSON,15.7,30.6,15.0
Karl-Anthony Towns,NYK,1.81,2.44,-0.63,EXTERNAL_JSON,22.1,33.0,23.0
Joel Embiid,PHI,3.18,1.17,2.01,EXTERNAL_JSON,18.2,25.1,9.0
Jalen Williams,OKC,-0.26,-0.59,0.33,EXTERNAL_JSON,17.3,28.0,6.0
Kevin Durant,HOU,4.11,3.64,0.47,EXTERNAL_JSON,24.8,35.4,20.0
Ivica Zubac,LAC,1.63,-0.26,1.89,EXTERNAL_JSON,16.6,32.8,25.0
Bam Adebayo,MIA,2.4,-0.14,2.54,EXTERNAL_JSON,19.2,30.8,19.0
Pascal Siakam,IND,3.71,2.07,1.63,EXTERNAL_JSON,24.5,34.2,23.0
Austin Reaves,LAL,2.4,2.25,0.15,EXTERNAL_JSON,27.8,36.9,21.0
Tari Eason,HOU,1.06,0.34,0.72,EXTERNAL_JSON,11.5,23.2,11.0
Jalen Suggs,ORL,0.77,-1.34,2.1,EXTERNAL_JSON,14.9,25.4,20.0
Steven Adams,HOU,5.32,3.35,1.97,EXTERNAL_JSON,6.4,21.6,18.0
Alex Caruso,OKC,4.85,0.14,4.71,EXTERNAL_JSON,5.5,18.5,16.0
Jalen Johnson,ATL,0.44,-0.42,0.86,EXTERNAL_JSON,23.4,35.2,22.0
Jakob Poeltl,TOR,1.68,1.07,0.61,EXTERNAL_JSON,10.2,26.1,19.0
Derrick White,BOS,3.24,1.24,2.0,EXTERNAL_JSON,17.2,33.0,24.0
Paul Reed,DET,0.99,0.07,0.92,EXTERNAL_JSON,6.7,12.0,18.0
Scottie Barnes,TOR,0.56,0.02,0.54,EXTERNAL_JSON,19.7,33.9,26.0
Alperen Sengun,HOU,1.96,1.4,0.56,EXTERNAL_JSON,23.0,35.9,20.0
Fred VanVleet,HOU,2.66,1.44,1.22,EXTERNAL_JSON,,,
Devin Booker,PHX,2.06,2.92,-0.86,EXTERNAL_JSON,25.0,34.7,22.0
Kyrie Irving,DAL,4.64,4.51,0.12,EXTERNAL_JSON,,,
Deni Avdija,POR,2.49,2.88,-0.39,EXTERNAL_JSON,25.4,34.2,25.0
Mitchell Robinson,NYK,1.83,0.79,1.04,EXTERNAL_JSON,3.6,17.5,16.0
Payton Pritchard,BOS,1.65,2.3,-0.65,EXTERNAL_JSON,16.8,32.3,25.0
Cade Cunningham,DET,1.15,1.09,0.05,EXTERNAL_JSON,27.5,36.4,21.0
Brandon Clarke,MEM,2.1,0.72,1.38,EXTERNAL_JSON,,,
Aaron Wiggins,OKC,2.34,2.54,-0.2,EXTERNAL_JSON,13.2,25.1,14.0
Michael Porter Jr.,BKN,-0.13,2.01,-2.15,EXTERNAL_JSON,25.8,32.8,19.0
Draymond Green,GSW,4.31,0.37,3.94,EXTERNAL_JSON,8.0,28.1,20.0
Tyler Herro,MIA,0.41,1.5,-1.09,EXTERNAL_JSON,23.2,31.8,6.0
Franz Wagner,ORL,4.19,1.95,2.24,EXTERNAL_JSON,22.7,33.4,24.0
Aaron Nesmith,IND,1.55,1.55,0.01,EXTERNAL_JSON,15.5,30.4,11.0
LeBron James,LAL,1.87,2.27,-0.41,EXTERNAL_JSON,16.5,33.5,8.0
Jonathan Isaac,ORL,1.18,-1.71,2.89,EXTERNAL_JSON,2.8,10.3,22.0
Zion Williamson,NOP,2.66,2.5,0.16,EXTERNAL_JSON,22.1,30.9,10.0
Josh Minott,BOS,0.59,0.44,0.15,EXTERNAL_JSON,7.3,19.2,24.0
Tyrese Maxey,PHI,1.71,2.63,-0.92,EXTERNAL_JSON,31.5,39.9,23.0
Robert Williams III,POR,0.51,-0.41,0.92,EXTERNAL_JSON,5.6,15.3,15.0
Ja Morant,MEM,1.63,1.09,0.54,EXTERNAL_JSON,17.9,28.8,12.0
Jaden McDaniels,MIN,0.44,-0.28,0.71,EXTERNAL_JSON,15.5,32.5,23.0
Goga Bitadze,ORL,1.38,0.83,0.55,EXTERNAL_JSON,6.3,16.9,24.0
Paul George,PHI,2.72,0.76,1.96,EXTERNAL_JSON,14.1,24.4,8.0
